name,party,electorate,chamber,aph_id
Senator the Hon Jenny McAllister,Australian Labor Party,New South Wales,Senate,
Hon Kristy McBain MP,Australian Labor Party,"Eden-Monaro, New South Wales",House,
Hon Emma McBride MP,Australian Labor Party,"Dobell, New South Wales",House,
Senator the Hon Malarndirri McCarthy,Australian Labor Party,Northern Territory,Senate,
Hon Michael McCormack MP,The Nationals,"Riverina, New South Wales",House,
Senator Susan McDonald,Liberal National Party of Queensland,Queensland,Senate,
Senator the Hon James McGrath,Liberal National Party of Queensland,Queensland,Senate,
Mrs Melissa McIntosh MP,Liberal Party of Australia,"Lindsay, New South Wales",House,
Senator the Hon Bridget McKenzie,The Nationals,Victoria,Senate,
Ms Zoe McKenzie MP,Liberal Party of Australia,"Flinders, Victoria",House,
Senator Nick McKim,Australian Greens,Tasmania,Senate,
Senator Andrew McLachlan CSC,Liberal Party of Australia,South Australia,Senate,
Ms Louise Miller-Frost MP,Australian Labor Party,"Boothby, South Australia",House,
Mr Rob Mitchell MP,Australian Labor Party,"McEwen, Victoria",House,
Mr David Moncrieff MP,Australian Labor Party,"Hughes, New South Wales",House,
Senator Corinne Mulholland,Australian Labor Party,Queensland,Senate,
Hon Dr Daniel Mulino MP,Australian Labor Party,"Fraser, Victoria",House,
Senator Jacinta Nampijinpa Price,Country Liberal Party,Northern Territory,Senate,
Hon Shayne Neumann MP,Australian Labor Party,"Blair, Queensland",House,
Mr Gabriel Ng MP,Australian Labor Party,"Menzies, Victoria",House,
Mr Ted O'Brien MP,Liberal National Party of Queensland,"Fairfax, Queensland",House,
Mr Llew O'Brien MP,Liberal National Party of Queensland,"Wide Bay, Queensland",House,
Hon Clare O'Neil MP,Australian Labor Party,"Hotham, Victoria",House,
Senator Deborah O'Neill,Australian Labor Party,New South Wales,Senate,
Senator Matt O'Sullivan,Liberal Party of Australia,Western Australia,Senate,
Mr Tony Pasin MP,Liberal Party of Australia,"Barker, South Australia",House,
Senator James Paterson,Liberal Party of Australia,Victoria,Senate,
Senator Fatima Payman,Australia's Voice,Western Australia,Senate,
Ms Alicia Payne MP,Australian Labor Party,"Canberra, Australian Capital Territory",House,
Ms Alison Penfold MP,The Nationals,"Lyne, New South Wales",House,
Mrs Fiona Phillips MP,Australian Labor Party,"Gilmore, New South Wales",House,
Mr Henry Pike MP,Liberal National Party of Queensland,"Bowman, Queensland",House,
Hon Tanya Plibersek MP,Australian Labor Party,"Sydney, New South Wales",House,
Senator Barbara Pocock,Australian Greens,South Australia,Senate,
Senator David Pocock,Independent,Australian Capital Territory,Senate,
Senator Helen Polley,Australian Labor Party,Tasmania,Senate,
Hon Melissa Price MP,Liberal Party of Australia,"Durack, Western Australia",House,
Hon Sam Rae MP,Australian Labor Party,"Hawke, Victoria",House,
Mr Leon Rebello MP,Liberal National Party of Queensland,"McPherson, Queensland",House,
Dr Gordon Reid MP,Australian Labor Party,"Robertson, New South Wales",House,
Mr Dan Repacholi MP,Australian Labor Party,"Hunter, New South Wales",House,
Hon Amanda Rishworth MP,Australian Labor Party,"Kingston, South Australia",House,
Senator Malcolm Roberts,One Nation,Queensland,Senate,
Ms Tracey Roberts MP,Australian Labor Party,"Pearce, Western Australia",House,
Hon Michelle Rowland MP,Australian Labor Party,"Greenway, New South Wales",House,
Senator the Hon Anne Ruston,Liberal Party of Australia,South Australia,Senate,
Ms Joanne Ryan MP,Australian Labor Party,"Lalor, Victoria",House,
Dr Monique Ryan MP,Independent,"Kooyong, Victoria",House,
Dr Sophie Scamps MP,Independent,"Mackellar, New South Wales",House,
Senator Paul Scarr,Liberal Party of Australia,Queensland,Senate,
Ms Marion Scrymgour MP,Australian Labor Party,"Lingiari, Northern Territory",House,
Ms Rebekha Sharkie MP,Centre Alliance,"Mayo, South Australia",House,
Senator Dave Sharma,Liberal Party of Australia,New South Wales,Senate,
Senator Tony Sheldon,Australian Labor Party,New South Wales,Senate,
Senator David Shoebridge,Australian Greens,New South Wales,Senate,
Ms Sally Sitou MP,Australian Labor Party,"Reid, New South Wales",House,
Mr Ben Small MP,Liberal Party of Australia,"Forrest, Western Australia",House,
Mr David Smith MP,Australian Labor Party,"Bean, Australian Capital Territory",House,
Senator Dean Smith,Liberal Party of Australia,Western Australia,Senate,
Senator Marielle Smith,Australian Labor Party,South Australia,Senate,
Mr Matt Smith MP,Australian Labor Party,"Leichhardt, Queensland",House,
Mr Zhi Soon MP,Australian Labor Party,"Banks, New South Wales",House,
